original_prompt,template,optimized_prompt
slogan for a mechanical watchmaker,creative,"<thinking>Mechanical watch watchmaker slogan. Focus on engineering history, escape from digital screens.</thinking> <output><role>Brand Specialist</role><task>Create watch slogans.</task><instructions>Develop 3 slogans celebrating gear coordination and heritage.</instructions><output_format>List.</output_format><constraints>No battery/digital references.</constraints></output>"
describe the sound of a rain forest waking up,creative,"<thinking>Auditory sensory description. Dripping water, early avian calls, rustling leaves, growing heat hum.</thinking> <output><role>Sound Designer</role><task>Write sonic landscape description.</task><instructions>Break down the sounds chronologically from pre-dawn fog to full sun exposure.</instructions><output_format>Auditory descriptive journal.</output_format><constraints>Focus exclusively on sound details.</constraints></output>"
write a short fable about a lazy beaver,creative,"<thinking>Fable format. Lazy beaver attempts to build dam using ready-made branches, learns structural integrity requires personal labor.</thinking> <output><role>Children's Book Author</role><task>Write short moral fable.</task><instructions>Write a 4-paragraph story ending with a clear, traditional moral maxim.</instructions><output_format>Traditional fable prose.</output_format><constraints>Maintain simple, allegorical style.</constraints></output>"
explain carbon offset credits,accurate,"<thinking>Environmental economics. Additionality, double-counting risk, verification standards.</thinking> <output><role>Carbon Analyst</role><task>Explain carbon offsets.</task><instructions>1. Define carbon equivalence. 2. Detail additionality criteria. 3. Explain verified registries. 4. State project types (forestry vs technology).</instructions><output_format>Briefing note.</output_format><constraints>Discuss risks of greenwashing neutrally.</constraints></output>"
how does a refrigerator cooling system work,accurate,"<thinking>Thermodynamics of vapor-compression refrigeration. Compressor, condenser, expansion valve, evaporator.</thinking> <output><role>Thermal Engineer</role><task>Explain refrigerator cycle.</task><instructions>1. Describe the refrigerant transformation states. 2. Walk through the four key thermal components. 3. State energy conservation laws applied.</instructions><output_format>Step-by-step mechanics explanation.</output_format><constraints>Strictly use correct phase change terms (condensation, evaporation).</constraints></output>"
what is game theory Nash equilibrium,accurate,<thinking>Game theory definition. Strategy set where no player has incentive to unilaterally deviate.</thinking> <output><role>Economics Professor</role><task>Explain Nash Equilibrium.</task><instructions>1. Define the mathematical concept. 2. Provide coordination game example. 3. Discuss multiple equilibria cases.</instructions><output_format>Theoretical brief.</output_format><constraints>Ensure game theory jargon is defined.</constraints></output>
explain deflation economic consequences,accurate,"<thinking>Deflationary trap mechanism. Wage rigidity, rising debt load, consumption deferral.</thinking> <output><role>Macroeconomist</role><task>Explain economic effects of deflation.</task><instructions>1. Analyze purchasing power changes. 2. Describe the deflationary spiral. 3. State central bank reaction tools.</instructions><output_format>Policy memo.</output_format><constraints>Focus on systemic liquidity effects.</constraints></output>"
difference between HTTP and HTTPS,accurate,"<thinking>Network security. SSL/TLS handshakes, encryption layer, port allocations (80 vs 443).</thinking> <output><role>Security Engineer</role><task>Compare HTTP and HTTPS.</task><instructions>1. Explain the role of public key infrastructure. 2. Describe the data encapsulation differences. 3. Detail the performance impact of encryption.</instructions><output_format>Technical review.</output_format><constraints>Ensure accurate explanation of certificates.</constraints></output>"
how does cellular respiration work,accurate,"<thinking>Biochemistry. Glycolysis, Krebs cycle, Electron Transport Chain, ATP synthesis yields.</thinking> <output><role>Cellular Biologist</role><task>Explain cellular respiration stages.</task><instructions>1. State overall chemical equation. 2. Detail glycolysis in cytoplasm. 3. Detail citric acid cycle and oxidative phosphorylation in mitochondria.</instructions><output_format>Biochemical review.</output_format><constraints>Use correct metabolic intermediates (pyruvate, NADH, FADH2).</constraints></output>"
explain quantum tunneling,accurate,"<thinking>Quantum mechanics. Wave-particle duality, wave function decay through barrier, transmission probability.</thinking> <output><role>Theoretical Physicist</role><task>Explain quantum tunneling.</task><instructions>1. Define the potential energy barrier. 2. Solve the wave equation inside the barrier. 3. Discuss applications (STM, nuclear fusion).</instructions><output_format>Theoretical note.</output_format><constraints>Include probability wave explanation.</constraints></output>"
how does an engine spark plug work,accurate,"<thinking>Electrical mechanics. High voltage dielectric breakdown of air gap generating spark.</thinking> <output><role>Automotive Engineer</role><task>Explain spark plug ignition.</task><instructions>1. Detail structural layers (terminal, ceramic insulator, electrodes). 2. Explain ignition coil voltage multiplication. 3. Describe combustion propagation.</instructions><output_format>Engineering manual page.</output_format><constraints>Keep mechanics aligned with Otto cycle.</constraints></output>"
explain Raft consensus algorithm,accurate,"<thinking>Distributed systems consensus. Leader election, log replication, safety invariants.</thinking> <output><role>Systems Architect</role><task>Explain Raft algorithm.</task><instructions>1. Define states (Leader, Follower, Candidate). 2. Detail heartbeat cycles. 3. Explain split vote resolution.</instructions><output_format>Technical specification summary.</output_format><constraints>Contrast with Paxos complexity where relevant.</constraints></output>"
what is dark matter evidence,accurate,"<thinking>Astrophysics. Galactic rotation curves, gravitational lensing, cosmic microwave background power spectrum.</thinking> <output><role>Cosmologist</role><task>List dark matter evidence.</task><instructions>1. Explain Vera Rubin's rotation curve findings. 2. Describe gravitational lensing distortions. 3. Detail CMB fluctuations.</instructions><output_format>Scientific review.</output_format><constraints>Distinguish observation from theoretical models.</constraints></output>"
how does linear regression work,accurate,"<thinking>Statistics/ML. Ordinary Least Squares (OLS), residual sum of squares minimization, coefficient estimation.</thinking> <output><role>Data Scientist</role><task>Explain linear regression model.</task><instructions>1. State the linear hypothesis equation. 2. Explain error terms and cost function. 3. Describe slope and intercept calculations.</instructions><output_format>Mathematical summary.</output_format><constraints>Use correct statistics notation.</constraints></output>"
explain carbon cycle steps,accurate,"<thinking>Environmental cycles. Carbon sinks, photosynthesis, respiration, decomposition, fossilization, oceanic dissolution.</thinking> <output><role>Biogeochemist</role><task>Explain global carbon cycle.</task><instructions>1. Detail fast vs slow cycle components. 2. Identify major reservoir boundaries. 3. Outline anthropogenic impacts.</instructions><output_format>Scientific report.</output_format><constraints>Ensure accurate mass transfers descriptions.</constraints></output>"
what is fiat money system history,accurate,"<thinking>Monetary history. Value by government decree, decoupling from reserves, trust mechanisms.</thinking> <output><role>Financial Historian</role><task>Explain fiat currency origins.</task><instructions>1. Transition from commodity standards to credit money. 2. Role of central banks. 3. Inflation risks in fractional reserve systems.</instructions><output_format>Historical review.</output_format><constraints>Keep historical sequence accurate.</constraints></output>"
difference between transcription and translation in genetics,accurate,<thinking>Biology. RNA Polymerase synthesis of mRNA vs Ribosome assembly of amino acid chain.</thinking> <output><role>Geneticist</role><task>Compare transcription and translation.</task><instructions>1. Detail cellular locations of both phases. 2. Define templates and enzymes utilized. 3. Explain start/stop signaling.</instructions><output_format>Comparative brief.</output_format><constraints>Maintain biochemical precision.</constraints></output>
how do solar cells convert light to electricity,accurate,"<thinking>Solid state physics. P-N junction, photovoltaic effect, electron-hole pair generation.</thinking> <output><role>Materials Scientist</role><task>Explain solar cell physics.</task><instructions>1. Explain silicon doping (N-type vs P-type). 2. Describe depletion zone formation. 3. Explain how incoming photons mobilize electrons.</instructions><output_format>Technical brief.</output_format><constraints>Focus on energy bandgap theory.</constraints></output>"
explain the role of the thyroid gland,accurate,"<thinking>Anatomy/physiology. T3, T4, calcitonin secretion, regulation by TSH, basal metabolic rate.</thinking> <output><role>Endocrinologist</role><task>Explain thyroid physiology.</task><instructions>1. Detail synthesized hormones. 2. Describe hypothalamic-pituitary-thyroid axis. 3. Explain iodine dependency.</instructions><output_format>Medical reference sheet.</output_format><constraints>Keep clinical parameters accurate.</constraints></output>"
what is the doppler effect physics,accurate,<thinking>Wave mechanics. Apparent frequency shift due to relative velocity between source and observer.</thinking> <output><role>Acoustic Physicist</role><task>Explain Doppler Effect.</task><instructions>1. Write mathematical formula for moving source/observer. 2. Describe acoustic compression. 3. Explain astronomical redshift.</instructions><output_format>Academic primer.</output_format><constraints>Ensure formula variables are defined.</constraints></output>
how do antibiotics work,accurate,"<thinking>Pharmacology. Cell wall synthesis inhibition, protein synthesis inhibition, DNA replication interference.</thinking> <output><role>Microbiologist</role><task>Explain antibiotic target mechanisms.</task><instructions>1. Compare bactericidal vs bacteriostatic actions. 2. Detail targets (peptidoglycan wall, ribosomes). 3. Discuss resistance mechanics.</instructions><output_format>Pharmacological review.</output_format><constraints>Do not write for viral infections.</constraints></output>"
explain ocean currents thermohaline circulation,accurate,"<thinking>Oceanography. Density-driven currents (temperature and salinity gradients), conveyor belt model.</thinking> <output><role>Oceanographer</role><task>Explain global conveyor belt.</task><instructions>1. Detail sinking zones in North Atlantic. 2. Explain salinity extraction by sea ice. 3. Discuss thermal stabilization impact on Europe.</instructions><output_format>Geophysical briefing.</output_format><constraints>Use proper density stratification terminology.</constraints></output>"
what is the triple point of water,accurate,"<thinking>Thermodynamics. Temperature and pressure coordinate where solid, liquid, and gas coexist in thermodynamic equilibrium.</thinking> <output><role>Physical Chemist</role><task>Define triple point of water.</task><instructions>1. Give exact pressure and temperature values. 2. Explain Gibbs' Phase Rule application. 3. Discuss calibration use in Kelvin scale.</instructions><output_format>Thermodynamics note.</output_format><constraints>Pressure must be in Pascals or atmospheres.</constraints></output>"
explain fiscal vs monetary policy,accurate,"<thinking>Economics. Government spending/taxation vs Central bank interest rates/money supply.</thinking> <output><role>Macroeconomist</role><task>Compare fiscal and monetary policy.</task><instructions>1. Define primary actors (Treasury vs Central Bank). 2. List tools (bonds, taxes, interest rates, QE). 3. Detail implementation lag difference.</instructions><output_format>Economic briefing paper.</output_format><constraints>Remain neutral regarding school of thought.</constraints></output>"
how does a gyroscope maintain orientation,accurate,"<thinking>Classical mechanics. Conservation of angular momentum, precession torque.</thinking> <output><role>Mechanical Physicist</role><task>Explain gyroscopic stabilization.</task><instructions>1. State angular momentum formula. 2. Explain rigidity in space. 3. Define precession mechanics under force.</instructions><output_format>Physics lesson.</output_format><constraints>Ensure mathematical terms are defined.</constraints></output>"
what is the ozone layer depletion chemistry,accurate,"<thinking>Atmospheric chemistry. CFC photolysis, chlorine radical catalysis cycle, polar stratospheric clouds.</thinking> <output><role>Atmospheric Chemist</role><task>Explain ozone depletion reactions.</task><instructions>1. Detail UV impact on CFC molecules. 2. Write the chlorine radical chain reaction equations. 3. State how one radical destroys thousands of ozone molecules.</instructions><output_format>Chemical analysis.</output_format><constraints>Equations must balance.</constraints></output>"
difference between mitosis and meiosis,accurate,"<thinking>Cytology. Somatic division (diploid output) vs gamete division (haploid output, recombination).</thinking> <output><role>Cellular Biologist</role><task>Compare mitosis and meiosis.</task><instructions>1. Contrast final chromosome counts. 2. Describe homologous recombination in prophase I. 3. Detail number of cellular divisions.</instructions><output_format>Biomedical outline.</output_format><constraints>Maintain correct phase naming (metaphase, anaphase).</constraints></output>"
how does GPS triangulation work,accurate,"<thinking>Satellite navigation. Trilateration (not triangulation), signal travel time, atomic clock sync, relativity correction.</thinking> <output><role>Geodesy Engineer</role><task>Explain GPS location tracking.</task><instructions>1. Differentiate trilateration from triangulation. 2. Describe intersection of spheres. 3. Explain the necessity of Einstein's relativity corrections for clocks.</instructions><output_format>Technical review.</output_format><constraints>Clearly explain general and special relativity effects on satellite time.</constraints></output>"
explain the difference between mass and weight,accurate,<thinking>Physics. Quantity of matter (inertia) vs gravitational force acting on that matter.</thinking> <output><role>Classical Physicist</role><task>Contrast mass and weight.</task><instructions>1. Compare units (Kg vs Newtons). 2. Explain measurement differences. 3. Describe outcome changes on another planet.</instructions><output_format>Academic brief.</output_format><constraints>Keep gravitational constant calculations accurate.</constraints></output>
how does an MRI machine scan the body,accurate,"<thinking>Medical physics. Proton alignment under strong magnetic field, RF pulse disturbance, relaxation time detection.</thinking> <output><role>Biomedical Engineer</role><task>Explain MRI physics.</task><instructions>1. Describe hydrogen proton behavior under magnetic fields. 2. Explain radiofrequency excitation. 3. Detail T1 and T2 relaxation signals translation into images.</instructions><output_format>Medical physics review.</output_format><constraints>Ensure focus on magnetic spin mechanics.</constraints></output>"
what is the first law of thermodynamics,accurate,<thinking>Thermodynamics. Conservation of energy: internal energy change equals heat added minus work done by system.</thinking> <output><role>Thermodynamics Specialist</role><task>State and derive the first law of thermodynamics.</task><instructions>1. Write formula: dU = dQ - dW. 2. Define closed system conditions. 3. Explain difference between state functions and path variables.</instructions><output_format>Physics study notes.</output_format><constraints>Ensure sign conventions are clearly stated.</constraints></output>
explain key differences between bacteria and viruses,accurate,<thinking>Microbiology. Living cellular organism with autonomous metabolism vs non-cellular parasite needing host machinery.</thinking> <output><role>Microbiologist</role><task>Compare bacteria and viruses.</task><instructions>1. Contrast structural components (cell wall/ribosomes vs capsid/envelope). 2. Describe reproduction mechanics. 3. Compare treatment methods (antibiotics vs antivirals).</instructions><output_format>Comparative grid layout.</output_format><constraints>Keep biological definitions standard.</constraints></output>
how do high and low pressure weather systems form,accurate,"<thinking>Meteorology. Air column temperature variations, rising vs sinking air currents, Coriolis force rotations.</thinking> <output><role>Meteorologist</role><task>Explain weather pressure systems.</task><instructions>1. Describe sinking air creating high pressure (anticyclones). 2. Describe rising warm air creating low pressure (cyclones). 3. Detail rotation directions in Northern vs Southern Hemispheres.</instructions><output_format>Atmospheric briefing.</output_format><constraints>Link pressure changes to moisture condensation patterns.</constraints></output>"
generate customer feedback survey template,custom,"<thinking>Survey templates require structured questionnaire design targeting usability, support, and product speed.</thinking> <output><role>UX Researcher</role><task>Draft NPS/CSAT survey structure.</task><instructions>Provide 5 time-boxed feedback questions using Likert scales and open-ended text fields.</instructions><output_format>Feedback matrix template.</output_format><constraints>Survey must be designed to be completed under 2 minutes.</constraints></output>"
create JSON schema for user profile API,custom,"<thinking>JSON schema validation rules for user resource. Need data types, constraints, formats.</thinking> <output><role>Backend Architect</role><task>Generate JSON schema.</task><instructions>Provide draft schema for properties: username, email (format: email), preferences, and metadata fields.</instructions><output_format>JSON schema block.</output_format><constraints>Ensure valid JSON schema draft-07 syntax.</constraints></output>"
draft company milestone celebration email,custom,"<thinking>Internal communications milestone. Tone should celebrate team effort, list achievements, state future direction.</thinking> <output><role>CEO Communications Advisor</role><task>Draft internal milestone email.</task><instructions>Write a message celebrating 100k users. Emphasize team contribution and upcoming sprint challenges.</instructions><output_format>Email template block.</output_format><constraints>Keep focus on collective effort, avoid individual callouts.</constraints></output>"
write interview questions for DevOps engineer,custom,"<thinking>DevOps interview questions focusing on infrastructure as code, orchestration, incident management.</thinking> <output><role>Principal DevOps Engineer</role><task>Create DevOps interview questions.</task><instructions>Draft 4 scenario-based questions evaluating disaster recovery and Terraform states.</instructions><output_format>Interview rubric guide.</output_format><constraints>Prioritize hands-on troubleshooting questions over trivia.</constraints></output>"
generate code review template for database migrations,custom,"<thinking>Database migration code review. Focus on locking behaviors, column index rebuilds, zero-downtime guidelines.</thinking> <output><role>DBA & Dev Lead</role><task>Create migration review guide.</task><instructions>Provide checks for lock timeouts, backward compatibility, and rollback verification scripts.</instructions><output_format>Markdown checklist.</output_format><constraints>Enforce zero-downtime rules for schema alterations.</constraints></output>"
create feature request issue template,custom,"<thinking>Feature request template. Need fields: User Problem, Proposed Solution, Alternatives Considered, Context/Value.</thinking> <output><role>Product Manager</role><task>Create issue template.</task><instructions>Draft issue fields that guide users to explain the underlying problem instead of just listing solutions.</instructions><output_format>Markdown issue form.</output_format><constraints>Keep instructions inside templates clear.</constraints></output>"
write procedure for handling production database restore,custom,"<thinking>SOP for database restore. Critical sequence: backup active logs, verify sandbox environment, execute restore, validation checks.</thinking> <output><role>SRE Lead</role><task>Create DB restore checklist.</task><instructions>Detail steps to download backup, verify signature, restore to staging, run sanity queries, redirect traffic.</instructions><output_format>Technical SOP block.</output_format><constraints>Emphasize verification in staging before touching production paths.</constraints></output>"
draft GDPR data deletion request policy clause,custom,"<thinking>GDPR Article 17 right to erasure. Explain user rights, timing (30 days), verification requirements.</thinking> <output><role>Privacy Lawyer</role><task>Draft privacy clause.</task><instructions>Write a clear description of the data deletion intake workflow and deletion validation steps.</instructions><output_format>Legal policy section.</output_format><constraints>Tone must be formal and compliant with EU guidelines.</constraints></output>"
create a quarterly project planning session agenda,custom,"<thinking>Quarterly project planning. Enforce alignment on goals, capacity check, roadmapping, and priority locks.</thinking> <output><role>Agile Coach</role><task>Draft quarterly planning agenda.</task><instructions>Provide timeline structure (total 4 hours) split into retrospective, capacity calculation, mapping, and consensus voting.</instructions><output_format>Agenda template.</output_format><constraints>Detail time limits for each segment strictly.</constraints></output>"
write post-mortem documentation for system outage,custom,"<thinking>SRE incident review. Timeline, impact metrics, root cause, short-term fixes, long-term preventions.</thinking> <output><role>Site Reliability Engineer</role><task>Draft post-mortem template.</task><instructions>Provide empty fields with instructions on documenting root causes via 5-whys technique.</instructions><output_format>Markdown template.</output_format><constraints>Strictly forbid blameworthy descriptions of engineer errors.</constraints></output>"
generate user story for authentication with OAuth2,custom,"<thinking>User story for OAuth integration. Standard structure, Gherkin criteria for third-party scopes and token expiry.</thinking> <output><role>Product Owner</role><task>Write OAuth user story.</task><instructions>Provide story for Google/GitHub sign-in. Include scenarios for user rejection and token refresh failures.</instructions><output_format>Jira ticket markdown.</output_format><constraints>Gherkin syntax (Given/When/Then) must be correct.</constraints></output>"
write cold LinkedIn outreach message for sales,custom,"<thinking>LinkedIn outreach. Concise (under 300 characters), value-focused, low-friction reply request.</thinking> <output><role>B2B Copywriter</role><task>Draft LinkedIn sales message.</task><instructions>Provide 2 options highlighting infrastructure monitoring integration benefits.</instructions><output_format>Message templates.</output_format><constraints>Keep copy strictly under LinkedIn character limit.</constraints></output>"
create onboarding tasks list for junior developers,custom,"<thinking>Junior onboarding. Focus on sandboxed local setup, understanding Git branching, minor documentation edits first week.</thinking> <output><role>Engineering Mentor</role><task>Draft junior onboarding plan.</task><instructions>Structure day 1 to 5 steps focusing on development environment configuration and local testing.</instructions><output_format>Markdown checklist.</output_format><constraints>Milestones should have no production write permissions in week 1.</constraints></output>"
generate release notes template,custom,"<thinking>Release notes format. Focus on highlights, breaking changes, contributor credits, upgrading steps.</thinking> <output><role>Technical Writer</role><task>Design release notes template.</task><instructions>Draft structured sections for library consumers with upgrading syntax placeholders.</instructions><output_format>Markdown template.</output_format><constraints>Keep upgrading sections highly visible.</constraints></output>"
write pull request guidelines markdown,custom,"<thinking>PR guidelines for open source project. Enforce branch name styling, test coverage requirements, documentation updates.</thinking> <output><role>OS Maintainer</role><task>Write PR guidelines.</task><instructions>Detail branch conventions, commit squash rules, and signature verification requirements.</instructions><output_format>CONTRIBUTING.md snippet.</output_format><constraints>Rules must be highly visible and direct.</constraints></output>"
create database replication strategy checklist,custom,"<thinking>Replication checklist. Primary-Replica lag checks, failover triggers, write forwarding rules validation.</thinking> <output><role>Database Engineer</role><task>Draft replication guidelines.</task><instructions>Provide verification steps for backup lag, read replica capacity checks, dns record updates.</instructions><output_format>Checklist block.</output_format><constraints>Ensure checks account for write consistency issues on read replicas.</constraints></output>"
draft security review questionnaire for third-party tools,custom,"<thinking>Vendor security review. Focus on SOC 2 reports, encryption at rest/transit, authentication methods (SAML/SSO), data retention.</thinking> <output><role>Security Compliance Officer</role><task>Create security questionnaire.</task><instructions>List 8 critical security compliance questions targeting SaaS vendor architectures.</instructions><output_format>Compliance document template.</output_format><constraints>Focus on actionable answers, not generic disclosures.</constraints></output>"
generate QA test design document structure,custom,"<thinking>QA Test design framework. Scope, test strategy, test matrix, regression criteria, environments.</thinking> <output><role>QA Architect</role><task>Design test document template.</task><instructions>Draft template for test suites defining execution parameters and critical test paths.</instructions><output_format>Structured outline.</output_format><constraints>Make parameters testable.</constraints></output>"
write security vulnerability disclosure policy template,custom,"<thinking>Vulnerability disclosure policy. Safe harbor statement, reporting channel, timeline expectations, prohibition of public disclosure before fix.</thinking> <output><role>SecOps Counsel</role><task>Write security.txt template.</task><instructions>Provide structured policies for white-hat security researchers detailing report handling cycles.</instructions><output_format>Markdown disclosure policy.</output_format><constraints>Ensure safe harbor language is explicit and legally protective.</constraints></output>"
create technical writing glossary of terms,custom,"<thinking>Glossary creation. Define standard capitalization rules, deprecated words list, acronym rules.</thinking> <output><role>Doc Lead</role><task>Create glossary skeleton.</task><instructions>Define format: Term, Definition, Capitalization Rules, Allowed Synonyms.</instructions><output_format>Glossary table.</output_format><constraints>Keep rules focused on developer doc consistency.</constraints></output>"
draft vendor SLA review template,custom,"<thinking>SLA parameters analysis. Service uptime targets (e.g. 99.9%), support response times, service credits calculations for breaches.</thinking> <output><role>IT Sourcing Lead</role><task>Create SLA review checklist.</task><instructions>Provide steps for verifying credit tiers, reporting periods, and definition of outages.</instructions><output_format>Review framework.</output_format><constraints>Ensure calculation parameters are clear.</constraints></output>"
generate API breaking change notice layout,custom,"<thinking>API change notice formatting. Clear warnings, target paths, alternative paths mapping, sunset schedule.</thinking> <output><role>DevRel Writer</role><task>Create announcement layout.</task><instructions>Draft template for notifying integrations about payload schema removals.</instructions><output_format>Markdown template with diff highlighting.</output_format><constraints>Migration guides must compare legacy and new fields side by side.</constraints></output>"
write git workflow guide for team branching,custom,"<thinking>Team git guide. Trunk-based development vs GitFlow. Recommend trunk-based for CD pipeline velocity.</thinking> <output><role>Principal Engineer</role><task>Write branching guide.</task><instructions>Detail branch naming (feature/, bugfix/), pull request lifecycles, and merge fast-forward requirements.</instructions><output_format>Markdown workflow guide.</output_format><constraints>Keep rules simple and CD pipeline-friendly.</constraints></output>"
create technical documentation migration plan template,custom,"<thinking>Docs migration planning. Focus on asset redirects, path mapping, search index rebuilding, page redirects structure.</thinking> <output><role>Documentation Architect</role><task>Draft migration plan template.</task><instructions>Define tracking table for Source URL, Target URL, Status, Redirect code (e.g. 301), Verification status.</instructions><output_format>Migration sheet table.</output_format><constraints>All redirects must favor 301 permanent redirect rules.</constraints></output>"
generate product release communication checklist,custom,"<thinking>Release communications check. Tasks for Product Marketing, Customer Success, sales enablement, documentation deploy sync.</thinking> <output><role>Release Manager</role><task>Draft communications checklist.</task><instructions>Provide list of deliverables sorted by stakeholder group (Marketing, Success, Support, Sales).</instructions><output_format>Markdown roadmap grid.</output_format><constraints>Verify all internal enablement tasks are completed before publishing public notes.</constraints></output>"
create data dictionary schema structure,custom,"<thinking>Data dictionary design. Define columns: Table Name, Column Name, Data Type, Constraints, Description, Reference Table/Column.</thinking> <output><role>Database Administrator</role><task>Design data dictionary layout.</task><instructions>Provide a structured table format with examples of primary keys, foreign keys, and descriptions.</instructions><output_format>Data dictionary schema template.</output_format><constraints>Ensure format is clean and documentation-ready.</constraints></output>"
draft code deprecation strategy document,custom,"<thinking>Code deprecation strategy. Annotations use, compiler warning targets, deprecation cycle stages, logging deprecation warnings in production.</thinking> <output><role>Principal Architect</role><task>Write deprecation guidelines.</task><instructions>Outline 3-stage deprecation process: 1. Warning annotation, 2. Runtime logging, 3. Actual removal.</instructions><output_format>Engineering standards document.</output_format><constraints>Ensure stages are clearly separated in time.</constraints></output>"
generate system maintenance window announcement layout,custom,"<thinking>Maintenance announcement formatting. Specify date, time in UTC, impact (service downtime, read-only mode), status page link.</thinking> <output><role>Operations lead</role><task>Create maintenance banner copy.</task><instructions>Draft email and UI banner templates explaining scheduled database upgrade window.</instructions><output_format>Formatted copy templates.</output_format><constraints>Uptime impacts must be stated in bold text near start.</constraints></output>"
write developer documentation feedback template,custom,"<thinking>Documentation feedback collection. Rating scale, helpful/not helpful options, open comments, context logging.</thinking> <output><role>UX Doc Researcher</role><task>Design feedback widget fields.</task><instructions>Draft questions targeting doc clarity, accuracy, and completeness with mock feedback logs.</instructions><output_format>UX form definition.</output_format><constraints>Widget must not interfere with reading flow.</constraints></output>"
create API rate limit notification template,custom,"<thinking>API rate limit headers and custom response block when limit is exceeded. Design JSON payload and header specifications.</thinking> <output><role>API Gateway Engineer</role><task>Draft API response structure for HTTP 429.</task><instructions>Define HTTP headers (X-RateLimit-Limit, X-RateLimit-Remaining, Retry-After) and JSON error response formatting.</instructions><output_format>JSON and HTTP specification draft.</output_format><constraints>All retry instructions must be defined in seconds.</constraints></output>"
connect to redis in python,code,"<thinking>Redis connection in Python uses redis-py. Best practice is connection pooling, handling ConnectionError, and using context managers.</thinking> <output><role>Backend Engineer</role><task>Write a Redis connection pool class in Python.</task><instructions>1. Use redis-py library. 2. Implement connection pooling. 3. Include error handling for host unreachable/timeouts. 4. Implement a simple key set/get wrapper with serialization.</instructions><output_format>Modular python class with connection lifecycle management.</output_format><constraints>Avoid creating new connections on every function call; reuse the pool.</constraints></output>"
parse XML file in Python,code,<thinking>Python XML parsing can use xml.etree.ElementTree. Ensure error handling for malformed tags.</thinking> <output><role>Senior Engineer</role><task>Parse XML in Python.</task><instructions>Use standard library ElementTree. Implement try-except for XML syntax validation.</instructions><output_format>Python function.</output_format><constraints>Zero external packages.</constraints></output>
implement a thread pool in Go,code,"<thinking>Go concurrency primitives. Use worker channels, sync.WaitGroup for tracking jobs completion.</thinking> <output><role>Go Systems Developer</role><task>Write a concurrent job pool.</task><instructions>Implement worker functions reading from a shared jobs channel. Use context cancellation.</instructions><output_format>Executable Go file.</output_format><constraints>Ensure safe clean exit of worker routines.</constraints></output>"
javascript throttle function,code,<thinking>Throttle execution limits to one execution per time interval. Handle trailing edge arguments.</thinking> <output><role>JS Dev</role><task>Implement throttle.</task><instructions>Write throttle wrapper handling timer flags and context scoping.</instructions><output_format>ES6 Javascript.</output_format><constraints>No lodash.</constraints></output>
validate email address in Javascript,code,<thinking>Standard regex validation for email strings. Cover edge cases of domains.</thinking> <output><role>Frontend Developer</role><task>Validate email.</task><instructions>Write regex-based evaluation function.</instructions><output_format>JS utility function.</output_format><constraints>Do not reject valid plus-sign email extensions.</constraints></output>
quick sort algorithm implementation,code,"<thinking>Quick sort requires partitioning element select, recursive array divisions.</thinking> <output><role>Algorithm Dev</role><task>Implement Quick Sort.</task><instructions>Write quicksort in Python using in-place partitioning with pivot logic.</instructions><output_format>Python script.</output_format><constraints>Analyze time complexity in docstring.</constraints></output>"
connect to PostgreSQL database in Python,code,<thinking>Python Postgres. Use psycopg2 or asyncpg. Establish connection parameters safely.</thinking> <output><role>Database Python Dev</role><task>Connect to Postgres.</task><instructions>Use psycopg2 driver with connection pooling classes.</instructions><output_format>Python class.</output_format><constraints>Never hardcode host credentials; read from env.</constraints></output>
implement stack data structure in Python,code,"<thinking>Stack operations. Push, Pop, Peek, isEmpty. Implement using list array representation.</thinking> <output><role>Developer</role><task>Implement Stack.</task><instructions>Write a Python class implementing stack methods with list append/pop operations.</instructions><output_format>Class definition.</output_format><constraints>Handle popping from empty stack error.</constraints></output>"
write a REST handler in Go,code,"<thinking>Go HTTP programming. Use net/http package. Handle routing parameters and JSON serialization.</thinking> <output><role>Go Backend Engineer</role><task>Write HTTP Handler.</task><instructions>Implement http.HandlerFunc reading user body, validating fields, and writing JSON response.</instructions><output_format>Go package code.</output_format><constraints>Only use built-in packages.</constraints></output>"
javascript sleep function promise,code,<thinking>Javascript asynchronous sleep. Return Promise resolved after setTimeout duration.</thinking> <output><role>JS Developer</role><task>Promise-based sleep.</task><instructions>Write ES6 helper function returning a Promise using setTimeout.</instructions><output_format>Helper function block.</output_format><constraints>Ensure function can be awaited.</constraints></output>
read file line by line in Python,code,<thinking>File operations. Memory-efficient line streaming in Python using open generator.</thinking> <output><role>Python Engineer</role><task>Read file lines.</task><instructions>Write context manager file open with generator yield loop.</instructions><output_format>Python code.</output_format><constraints>Must handle files too large for RAM.</constraints></output>
merge two sorted arrays in JavaScript,code,<thinking>Sorted array merging. Linear traversal with two pointers. Time complexity O(n + m).</thinking> <output><role>Frontend Lead</role><task>Merge sorted arrays.</task><instructions>Write JavaScript algorithm combining arrays maintaining sorted constraint.</instructions><output_format>JS utility.</output_format><constraints>Do not use built-in array sort after concatenation.</constraints></output>
implement binary search tree in Python,code,"<thinking>BST structure. Node class with left/right branches, insert, and search implementations.</thinking> <output><role>Python dev</role><task>Implement BST.</task><instructions>Write Node class and BST class with recursive search/insert operations.</instructions><output_format>Python file.</output_format><constraints>Document structure clearly.</constraints></output>"
